iter	Passed	Remaining
1088	11190	20571
1089	11201	20563
1090	11212	20554
1091	11223	20544
1092	11233	20535
1093	11244	20525
1094	11254	20514
1095	11264	20503
1096	11274	20493
1097	11285	20483
1098	11295	20472
1099	11305	20463
1100	11315	20452
1101	11326	20443
1102	11336	20433
1103	11346	20422
1104	11356	20411
1105	11367	20402
1106	11378	20392
1107	11388	20381
1108	11398	20372
1109	11409	20362
1110	11419	20351
1111	11429	20340
1112	11440	20331
1113	11450	20320
1114	11460	20310
1115	11470	20299
1116	11480	20289
1117	11492	20281
1118	11504	20273
1119	11515	20264
1120	11527	20257
1121	11537	20246
1122	11548	20237
1123	11558	20228
1124	11569	20218
1125	11580	20210
1126	11593	20203
1127	11605	20195
1128	11620	20193
1129	11634	20189
1130	11646	20183
1131	11657	20173
1132	11667	20163
1133	11679	20156
1134	11690	20146
1135	11701	20137
1136	11710	20125
1137	11721	20115
1138	11733	20107
1139	11744	20100
1140	11754	20089
1141	11764	20078
1142	11775	20068
1143	11785	20057
1144	11795	20046
1145	11804	20034
1146	11814	20023
1147	11824	20012
1148	11833	20001
1149	11843	19989
1150	11853	19978
1151	11864	19969
1152	11877	19964
1153	11887	19953
1154	11897	19942
1155	11908	19933
1156	11919	19924
1157	11929	19914
1158	11940	19903
1159	11951	19894
1160	11962	19885
1161	11971	19873
1162	11981	19862
1163	11991	19851
1164	12001	19840
1165	12011	19829
1166	12021	19819
1167	12033	19812
1168	12045	19804
1169	12054	19792
1170	12064	19781
1171	12074	19770
1172	12085	19760
1173	12095	19750
1174	12106	19740
1175	12116	19730
1176	12126	19720
1177	12136	19709
1178	12146	19698
1179	12157	19688
1180	12166	19676
1181	12176	19665
1182	12186	19654
1183	12195	19642
1184	12204	19630
1185	12214	19619
1186	12225	19609
1187	12236	19600
1188	12246	19590
1189	12257	19580
1190	12267	19569
1191	12277	19559
1192	12287	19549
1193	12298	19539
1194	12308	19528
1195	12318	19518
1196	12329	19509
1197	12339	19498
1198	12349	19486
1199	12358	19475
1200	12368	19463
1201	12377	19452
1202	12387	19441
1203	12397	19429
1204	12408	19420
1205	12418	19410
1206	12428	19399
1207	12439	19390
1208	12450	19381
1209	12461	19372
1210	12471	19361
1211	12482	19352
1212	12493	19342
1213	12503	19331
1214	12513	19321
1215	12523	19310
1216	12533	19299
1217	12543	19289
1218	12554	19279
1219	12564	19268
1220	12574	19257
1221	12585	19248
1222	12595	19238
1223	12606	19228
1224	12616	19218
1225	12627	19208
1226	12637	19198
1227	12646	19186
1228	12657	19176
1229	12667	19166
1230	12677	19155
1231	12688	19145
1232	12698	19134
1233	12709	19125
1234	12719	19115
1235	12729	19105
1236	12740	19094
1237	12750	19084
1238	12760	19073
1239	12770	19063
1240	12780	19052
1241	12791	19043
1242	12801	19032
1243	12811	19021
1244	12821	19011
1245	12832	19001
1246	12842	18990
1247	12852	18980
1248	12862	18969
1249	12872	18959
1250	12883	18949
1251	12894	18939
1252	12904	18929
1253	12914	18918
1254	12924	18908
1255	12934	18897
1256	12944	18886
1257	12956	18878
1258	12966	18867
1259	12976	18857
1260	12987	18847
1261	12997	18837
1262	13007	18826
1263	13017	18816
1264	13027	18805
1265	13040	18798
1266	13051	18788
1267	13061	18778
1268	13071	18768
1269	13081	18757
1270	13092	18747
1271	13102	18736
1272	13112	18725
1273	13122	18715
1274	13132	18705
1275	13143	18694
1276	13153	18684
1277	13163	18674
1278	13173	18663
1279	13183	18651
1280	13193	18641
1281	13203	18631
1282	13213	18620
1283	13224	18610
1284	13233	18599
1285	13243	18588
1286	13253	18577
1287	13265	18569
1288	13277	18562
1289	13287	18551
1290	13299	18543
1291	13312	18536
1292	13321	18525
1293	13332	18514
1294	13341	18502
1295	13351	18492
1296	13361	18482
1297	13372	18471
1298	13381	18460
1299	13391	18449
1300	13400	18437
1301	13411	18428
1302	13421	18417
1303	13430	18405
1304	13440	18393
1305	13449	18382
1306	13459	18371
1307	13469	18360
1308	13478	18349
1309	13488	18338
1310	13497	18326
1311	13507	18315
1312	13517	18305
1313	13526	18293
1314	13536	18282
1315	13546	18270
1316	13555	18259
1317	13564	18247
1318	13574	18237
1319	13584	18225
1320	13593	18214
1321	13603	18202
1322	13612	18191
1323	13622	18180
1324	13632	18169
1325	13641	18157
1326	13651	18146
1327	13660	18134
1328	13670	18123
1329	13679	18112
1330	13689	18102
1331	13699	18090
1332	13710	18081
1333	13721	18072
1334	13732	18063
1335	13743	18053
1336	13754	18043
1337	13764	18033
1338	13774	18022
1339	13783	18011
1340	13795	18003
1341	13805	17992
1342	13815	17982
1343	13825	17971
1344	13835	17960
1345	13847	17951
1346	13858	17942
1347	13868	17932
1348	13881	17925
1349	13891	17914
1350	13902	17905
1351	13913	17896
1352	13925	17887
1353	13936	17878
1354	13947	17868
1355	13957	17859
1356	13969	17850
1357	13981	17842
1358	13992	17832
1359	14002	17822
1360	14015	17815
1361	14025	17805
1362	14040	17800
1363	14051	17791
1364	14062	17781
1365	14073	17772
1366	14084	17762
1367	14095	17752
1368	14105	17742
1369	14115	17731
1370	14126	17722
1371	14136	17711
1372	14146	17701
1373	14156	17690
1374	14167	17681
1375	14177	17670
1376	14187	17659
1377	14199	17651
1378	14210	17642
1379	14220	17631
1380	14230	17620
1381	14240	17610
1382	14250	17599
1383	14260	17589
1384	14271	17578
1385	14281	17568
1386	14292	17558
1387	14302	17548
1388	14312	17538
1389	14324	17529
1390	14334	17518
1391	14344	17508
1392	14355	17498
1393	14365	17488
1394	14376	17478
1395	14387	17468
1396	14397	17458
1397	14407	17447
1398	14417	17436
1399	14427	17426
1400	14438	17416
1401	14449	17406
1402	14459	17396
1403	14470	17387
1404	14481	17378
1405	14491	17367
1406	14502	17357
1407	14526	17363
1408	14542	17359
1409	14576	17377
1410	14588	17369
1411	14599	17360
1412	14616	17357
1413	14626	17346
1414	14637	17336
1415	14647	17326
1416	14657	17316
1417	14669	17307
1418	14679	17296
1419	14689	17286
1420	14700	17276
1421	14710	17265
1422	14719	17254
1423	14730	17243
1424	14740	17233
1425	14750	17222
1426	14760	17211
1427	14769	17200
1428	14779	17189
1429	14788	17177
1430	14799	17168
1431	14809	17157
1432	14819	17146
1433	14829	17135
1434	14839	17124
1435	14849	17114
1436	14859	17103
1437	14868	17091
1438	14878	17080
1439	14887	17069
1440	14897	17058
1441	14908	17048
1442	14918	17037
1443	14928	17027
1444	14938	17017
1445	14948	17005
1446	14958	16995
1447	14968	16983
1448	14977	16972
1449	14987	16961
1450	14996	16949
1451	15006	16939
1452	15015	16927
1453	15025	16916
1454	15034	16905
1455	15044	16893
1456	15054	16883
1457	15063	16871
1458	15073	16860
1459	15082	16849
1460	15091	16837
1461	15101	16826
1462	15111	16816
1463	15121	16805
1464	15130	16793
1465	15140	16782
1466	15150	16772
1467	15160	16760
1468	15170	16750
1469	15180	16739
1470	15189	16728
1471	15199	16717
1472	15209	16706
1473	15218	16695
1474	15228	16684
1475	15238	16673
1476	15248	16663
1477	15258	16651
1478	15268	16641
1479	15278	16630
1480	15288	16620
1481	15299	16610
1482	15310	16600
1483	15321	16591
1484	15332	16581
1485	15342	16571
1486	15353	16561
1487	15362	16550
1488	15374	16540
1489	15384	16530
1490	15393	16519
1491	15403	16507
1492	15412	16496
1493	15421	16485
1494	15431	16473
1495	15440	16462
1496	15450	16451
1497	15460	16440
1498	15469	16429
1499	15478	16417
1500	15488	16407
1501	15498	16395
1502	15507	16384
1503	15517	16373
1504	15529	16365
1505	15542	16357
1506	15554	16349
1507	15565	16339
1508	15575	16329
1509	15586	16318
1510	15595	16307
1511	15604	16296
1512	15613	16284
1513	15623	16273
1514	15632	16261
1515	15641	16250
1516	15651	16239
1517	15660	16227
1518	15669	16216
1519	15679	16205
1520	15688	16194
1521	15699	16183
1522	15708	16172
1523	15718	16161
1524	15727	16150
1525	15737	16139
1526	15746	16128
1527	15756	16117
1528	15765	16105
1529	15774	16094
1530	15784	16083
1531	15793	16071
1532	15802	16060
1533	15812	16049
1534	15822	16038
1535	15831	16027
1536	15841	16016
1537	15852	16006
1538	15861	15995
1539	15871	15985
1540	15881	15974
1541	15890	15963
1542	15900	15951
1543	15909	15940
1544	15918	15928
1545	15928	15917
1546	15937	15906
1547	15947	15895
1548	15956	15884
1549	15965	15873
1550	15975	15862
1551	15984	15850
1552	15994	15840
1553	16004	15828
1554	16013	15817
1555	16023	15807
1556	16034	15797
1557	16043	15786
1558	16053	15775
1559	16063	15764
1560	16073	15753
1561	16085	15746
1562	16096	15735
1563	16105	15724
1564	16115	15713
1565	16124	15702
1566	16134	15691
1567	16143	15680
1568	16153	15669
1569	16162	15658
1570	16172	15647
1571	16181	15635
1572	16191	15625
1573	16201	15614
1574	16211	15603
1575	16220	15592
1576	16229	15581
1577	16239	15570
1578	16248	15559
1579	16258	15548
1580	16267	15536
1581	16276	15525
1582	16287	15515
1583	16296	15504
1584	16305	15492
1585	16315	15482
1586	16324	15470
1587	16335	15461
1588	16344	15450
1589	16355	15439
1590	16364	15428
1591	16374	15417
1592	16383	15406
1593	16394	15396
1594	16403	15385
1595	16412	15373
1596	16421	15362
1597	16432	15353
1598	16443	15343
1599	16453	15332
1600	16462	15320
1601	16471	15310
1602	16481	15298
1603	16494	15291
1604	16519	15294
1605	16541	15295
1606	16552	15285
1607	16561	15274
1608	16571	15263
1609	16581	15253
1610	16591	15242
1611	16600	15230
1612	16609	15219
1613	16619	15208
1614	16628	15197
1615	16637	15186
1616	16647	15175
1617	16657	15164
1618	16667	15154
1619	16678	15144
1620	16688	15134
1621	16699	15124
1622	16709	15113
1623	16718	15102
1624	16727	15091
1625	16737	15080
1626	16746	15068
1627	16756	15057
1628	16765	15046
1629	16775	15035
1630	16786	15026
1631	16798	15017
1632	16807	15006
1633	16817	14996
1634	16827	14984
1635	16836	14974
1636	16846	14962
1637	16855	14951
1638	16864	14940
1639	16874	14929
1640	16883	14918
1641	16892	14906
1642	16901	14895
1643	16911	14885
1644	16922	14875
1645	16933	14865
1646	16958	14868
1647	16979	14867
1648	16993	14860
1649	17005	14851
1650	17016	14841
1651	17027	14832
1652	17037	14821
1653	17046	14810
1654	17057	14800
1655	17067	14790
1656	17077	14779
1657	17086	14768
1658	17096	14756
1659	17106	14746
1660	17116	14735
1661	17125	14724
1662	17135	14713
1663	17145	14703
1664	17155	14692
1665	17164	14681
1666	17173	14670
1667	17182	14658
1668	17192	14647
1669	17202	14637
